GridLat,GridLon,TotalCrimes,OverallRisk
41.64,-87.62,2,0
41.64,-87.61,2,0
41.64,-87.6,1,0
41.64,-87.54,2,0
41.65,-87.62,158,0
41.65,-87.61,171,0
41.65,-87.6,169,0
41.65,-87.59,10,0
41.65,-87.58,2,0
41.65,-87.56,16,0
41.65,-87.55,169,0
41.65,-87.54,154,0
41.65,-87.53,90,0
41.66,-87.65,27,0
41.66,-87.64,268,0
41.66,-87.63,117,0
41.66,-87.62,108,0
41.66,-87.61,321,1
41.66,-87.6,545,1
41.66,-87.59,34,0
41.66,-87.58,5,0
41.66,-87.57,4,0
41.66,-87.56,64,0
41.66,-87.55,150,0
41.66,-87.54,51,0
41.67,-87.66,72,0
41.67,-87.65,102,0
41.67,-87.64,348,1
41.67,-87.63,286,0
41.67,-87.62,361,1
41.67,-87.57,6,0
41.67,-87.56,42,0
41.67,-87.55,18,0
41.67,-87.54,30,0
41.68,-87.73,1,0
41.68,-87.72,78,0
41.68,-87.71,24,0
41.68,-87.7,2,0
41.68,-87.69,10,0
41.68,-87.68,154,0
41.68,-87.67,157,0
41.68,-87.66,467,1
41.68,-87.65,327,1
41.68,-87.64,686,1
41.68,-87.63,681,1
41.68,-87.62,696,1
41.68,-87.61,38,0
41.68,-87.6,12,0
41.68,-87.58,1,0
41.68,-87.56,2,0
41.68,-87.55,1,0
41.68,-87.54,83,0
41.68,-87.53,22,0
41.69,-87.74,1,0
41.69,-87.73,2,0
41.69,-87.72,39,0
41.69,-87.71,100,0
41.69,-87.7,166,0
41.69,-87.69,57,0
41.69,-87.68,226,0
41.69,-87.67,297,0
41.69,-87.66,387,1
41.69,-87.65,340,1
41.69,-87.64,417,1
41.69,-87.63,473,1
41.69,-87.62,828,2
41.69,-87.61,612,1
41.69,-87.6,150,0
41.69,-87.58,3,0
41.69,-87.54,147,0
41.69,-87.53,98,0
41.69,-87.52,3,0
41.7,-87.72,46,0
41.7,-87.71,48,0
41.7,-87.7,88,0
41.7,-87.69,43,0
41.7,-87.68,116,0
41.7,-87.67,122,0
41.7,-87.66,159,0
41.7,-87.65,238,0
41.7,-87.64,374,1
41.7,-87.63,527,1
41.7,-87.62,713,1
41.7,-87.61,463,1
41.7,-87.6,282,0
41.7,-87.59,30,0
41.7,-87.58,1,0
41.7,-87.57,87,0
41.7,-87.56,302,1
41.7,-87.55,5,0
41.7,-87.54,387,1
41.7,-87.53,292,0
41.7,-87.52,5,0
41.71,-87.72,32,0
41.71,-87.71,25,0
41.71,-87.7,32,0
41.71,-87.69,42,0
41.71,-87.68,135,0
41.71,-87.67,139,0
41.71,-87.66,202,0
41.71,-87.65,371,1
41.71,-87.64,453,1
41.71,-87.63,544,1
41.71,-87.62,574,1
41.71,-87.61,416,1
41.71,-87.6,224,0
41.71,-87.59,33,0
41.71,-87.58,111,0
41.71,-87.57,211,0
41.71,-87.56,242,0
41.71,-87.55,71,0
41.71,-87.54,229,0
41.71,-87.53,97,0
41.72,-87.68,155,0
41.72,-87.67,135,0
41.72,-87.66,588,1
41.72,-87.65,364,1
41.72,-87.64,479,1
41.72,-87.63,599,1
41.72,-87.62,583,1
41.72,-87.61,192,0
41.72,-87.6,245,0
41.72,-87.59,131,0
41.72,-87.58,338,1
41.72,-87.57,372,1
41.72,-87.56,197,0
41.72,-87.55,148,0
41.72,-87.54,247,0
41.72,-87.53,83,0
41.73,-87.74,11,0
41.73,-87.73,3,0
41.73,-87.72,6,0
41.73,-87.68,60,0
41.73,-87.67,163,0
41.73,-87.66,752,1
41.73,-87.65,332,1
41.73,-87.64,434,1
41.73,-87.63,330,1
41.73,-87.62,270,0
41.73,-87.61,445,1
41.73,-87.6,593,1
41.73,-87.59,446,1
41.73,-87.58,317,1
41.73,-87.57,388,1
41.73,-87.56,400,1
41.73,-87.55,931,2
41.73,-87.54,78,0
41.74,-87.74,99,0
41.74,-87.73,142,0
41.74,-87.72,252,0
41.74,-87.71,159,0
41.74,-87.7,213,0
41.74,-87.69,143,0
41.74,-87.68,69,0
41.74,-87.67,430,1
41.74,-87.66,706,1
41.74,-87.65,929,2
41.74,-87.64,487,1
41.74,-87.63,756,1
41.74,-87.62,470,1
41.74,-87.61,635,1
41.74,-87.6,816,1
41.74,-87.59,417,1
41.74,-87.58,440,1
41.74,-87.57,293,0
41.74,-87.56,710,1
41.74,-87.55,740,1
41.74,-87.54,151,0
41.74,-87.53,3,0
41.75,-87.74,435,1
41.75,-87.73,165,0
41.75,-87.72,261,0
41.75,-87.71,264,0
41.75,-87.7,284,0
41.75,-87.69,223,0
41.75,-87.68,273,0
41.75,-87.67,909,2
41.75,-87.66,1352,2
41.75,-87.65,1073,2
41.75,-87.64,743,1
41.75,-87.63,703,1
41.75,-87.62,653,1
41.75,-87.61,1602,2
41.75,-87.6,1836,2
41.75,-87.59,492,1
41.75,-87.58,812,1
41.75,-87.57,852,2
41.75,-87.56,1376,2
41.75,-87.55,860,2
41.75,-87.54,8,0
41.76,-87.74,49,0
41.76,-87.73,47,0
41.76,-87.72,148,0
41.76,-87.71,166,0
41.76,-87.7,235,0
41.76,-87.69,394,1
41.76,-87.68,423,1
41.76,-87.67,528,1
41.76,-87.66,798,1
41.76,-87.65,965,2
41.76,-87.64,843,2
41.76,-87.63,1047,2
41.76,-87.62,873,2
41.76,-87.61,1035,2
41.76,-87.6,446,1
41.76,-87.59,881,2
41.76,-87.58,1010,2
41.76,-87.57,827,2
41.76,-87.56,1667,2
41.76,-87.55,215,0
41.76,-87.54,1,0
41.77,-87.8,9,0
41.77,-87.79,35,0
41.77,-87.78,38,0
41.77,-87.77,3,0
41.77,-87.76,9,0
41.77,-87.75,1,0
41.77,-87.74,118,0
41.77,-87.73,171,0
41.77,-87.72,270,0
41.77,-87.71,148,0
41.77,-87.7,380,1
41.77,-87.69,858,2
41.77,-87.68,614,1
41.77,-87.67,749,1
41.77,-87.66,902,2
41.77,-87.65,820,1
41.77,-87.64,797,1
41.77,-87.63,826,1
41.77,-87.62,1100,2
41.77,-87.61,973,2
41.77,-87.6,420,1
41.77,-87.59,934,2
41.77,-87.58,1519,2
41.77,-87.57,1574,2
41.77,-87.56,67,0
41.78,-87.8,45,0
41.78,-87.79,154,0
41.78,-87.78,196,0
41.78,-87.77,303,1
41.78,-87.76,201,0
41.78,-87.75,73,0
41.78,-87.74,240,0
41.78,-87.73,320,1
41.78,-87.72,372,1
41.78,-87.71,478,1
41.78,-87.7,1158,2
41.78,-87.69,914,2
41.78,-87.68,636,1
41.78,-87.67,641,1
41.78,-87.66,771,1
41.78,-87.65,943,2
41.78,-87.64,791,1
41.78,-87.63,554,1
41.78,-87.62,1425,2
41.78,-87.61,1169,2
41.78,-87.6,794,1
41.78,-87.59,716,1
41.78,-87.58,30,0
41.78,-87.57,60,0
41.79,-87.8,112,0
41.79,-87.79,110,0
